ora,watt
0820,74.64
0821,75.13
0822,75.62
0823,75.13
0824,78.56
0825,78.07
0827,87.37
0828,84.92
0829,81.01
0830,80.52
0831,88.84
0832,86.39
0833,89.33
0834,82.48
0835,80.52
0836,82.97
0837,88.35
0838,83.94
0839,83.46
0840,85.90
0841,85.90
0842,89.33
0843,98.63
0844,93.74
0845,97.65
0846,99.12
0847,100.59
0848,104.99
0849,105.48
0850,103.53
0851,104.02
0852,108.91
0853,100.59
0854,99.12
0855,121.64
0856,141.71
0857,143.67
0858,135.84
0859,153.46
0900,131.43
0901,142.20
0902,184.30
0903,219.06
0904,227.38
0905,213.18
0906,216.12
0907,230.32
0908,180.87
0909,178.91
0910,173.53
0911,217.59
0912,277.80
0913,249.41
0914,265.56
0915,223.46
0916,250.88
0917,216.61
0918,208.78
0919,230.81
0920,249.41
0921,256.75
0922,200.94
0923,185.77
0924,175.00
0925,182.83
0926,184.30
0927,185.28
0928,189.68
0929,177.94
0930,176.96
0931,176.47
0932,174.51
0933,200.94
0934,193.60
0935,203.39
0936,219.55
0937,190.66
0938,203.39
0939,219.06
0940,206.33
0941,204.37
0942,211.71
0943,222.48
0944,227.38
0945,234.72
0946,210.24
0947,207.80
0948,207.80
0949,213.67
0950,216.12
0951,216.12
0952,210.73
0953,213.67
0954,214.16
0955,209.27
0956,197.03
0957,204.37
0958,209.76
0959,207.31
1000,201.43
1001,206.82
1003,210.73
1004,214.16
1005,219.55
1006,217.10
1007,218.57
1008,218.57
1009,219.06
1010,219.06
1011,218.08
1012,220.04
1013,220.52
1014,228.36
1015,230.81
1016,230.81
1017,231.29
1018,233.74
1019,227.87
1020,229.83
1021,229.83
1022,228.36
1023,232.76
1024,229.34
1025,228.36
1026,226.89
1027,228.85
1028,226.89
1029,228.85
1030,228.85
1031,232.76
1032,1152.60
1033,1173.65
1034,1179.52
1035,1184.91
1036,1187.85
1037,1192.74
1038,1203.02
1039,1227.01
1040,1238.27
1041,1202.53
1042,1253.44
1043,1263.23
